Location
Wind class
Hub height,80
Cutin speed,3
Cutout speed,23

Hour,Adjust power based on air density (kW),P/Pr based on air density (%)
736,7409.426555589191,98.79
737,7442.258325202789,99.23
738,7482.292427410909,99.76
739,7489.305151559065,99.86
740,7528.515962634873,100.38
741,7497.957157287177,99.97
742,7486.064437742833,99.81
743,7586.178808454202,101.15
744,7602.510852841908,101.37
745,7619.58636468176,101.59
746,7637.7074083889875,101.84
747,7645.174183709336,101.94
748,7645.98259802505,101.95
749,7647.950541154454,101.97
750,7655.289449468862,102.07
751,7312.1005971212635,97.49
752,7178.721776209512,95.72
753,6231.854653258244,83.09
754,7186.646140888771,95.82
755,6854.732152890189,91.4
756,6346.3106839008,84.62
757,6238.944200942125,83.19
758,6552.060402204893,87.36
759,7430.973891681641,99.08
760,7734.0181426962745,103.12
761,7743.6007087447315,103.25
762,7752.015356879652,103.36
763,7760.7281899606205,103.48
764,7777.892496504411,103.71
765,6356.407299120679,84.75
766,7350.104209241222,98.0
767,7820.085220074394,104.27
768,7818.536997111346,104.25
769,7588.762573061924,101.18
770,7834.188642872732,104.46
771,7552.228751081368,100.7
772,6819.662908485096,90.93
773,4708.312723487966,62.78
774,3159.86146410557,42.13
775,900.6850058043706,12.01
776,4933.442346884656,65.78
777,3685.225571024826,49.14
778,1817.545598589413,24.23
779,3173.0274140760202,42.31
780,3044.290693553581,40.59
781,1963.4276999316278,26.18
782,1246.5839201598042,16.62
783,1859.683365923143,24.8
784,2354.7581856807687,31.4
785,2742.5565002340213,36.57
786,3010.3706547732,40.14
787,2722.2705587441455,36.3
788,1896.071596795875,25.28
789,833.3175055738925,11.11
790,112.29377583658741,1.5
791,8.816780598176772,0.12
792,7.550786442018828,0.1
793,20.548477376962843,0.27
794,40.66987817989591,0.54
795,19.702669754666687,0.26
796,0.0,0.0
797,0.0,0.0
798,15.50443914409439,0.21
799,29.320468826106605,0.39
800,344.89318927375564,4.6
801,558.2992033961419,7.44
802,705.3488325169064,9.4
803,909.9183098557265,12.13
804,1699.161952738246,22.66
805,974.1858146767488,12.99
806,1035.1398435354454,13.8
807,542.5108250519726,7.23
808,217.3556074145703,2.9
809,40.581035977297276,0.54
810,22.30147306551417,0.3
811,27.220927993046942,0.36
812,9.071877316455293,0.12
813,0.0,0.0
814,12.383519908283915,0.17
815,0.0,0.0
816,0.0,0.0
817,0.0,0.0
818,304.0606127926338,4.05
819,967.1395775901094,12.9
820,3037.0451926480023,40.49
821,6295.098759295219,83.93
822,4281.785121372676,57.09
823,7246.234794457368,96.62
824,6608.960132317291,88.12
825,4277.600519058434,57.03
826,4061.568467280805,54.15
827,5018.356450977601,66.91
828,6150.877845234421,82.01
829,7465.225651185348,99.54
830,7480.913741204313,99.75
831,7648.771394295892,101.98
832,7716.961074413203,102.89
833,7749.871976846032,103.33
834,7751.274794124255,103.35
835,7476.839699234261,99.69
836,7344.473989597418,97.93
837,6107.067468385063,81.43
838,4991.396790355444,66.55
839,6886.1763798843185,91.82
840,5376.238703775647,71.68
841,4468.417000998872,59.58
842,4160.075251607725,55.47
843,2942.5359392512937,39.23
844,1032.346677732118,13.76
845,595.2188417580768,7.94
846,557.2423052467475,7.43
847,124.47412001023675,1.66
848,28.761784791994373,0.38
849,0.0,0.0
850,0.0,0.0
851,0.0,0.0
852,0.0,0.0
853,0.0,0.0
854,0.0,0.0
855,0.0,0.0
856,0.0,0.0
857,0.0,0.0
858,0.0,0.0
859,0.0,0.0
860,5.808069407826186,0.08
861,228.00504872155767,3.04
862,2348.915038254581,31.32
863,2327.7630034657504,31.04
864,2799.0445865554043,37.32
865,2459.1057322167603,32.79
866,1978.0708809144742,26.37
867,566.3281887874983,7.55
868,195.20185078802228,2.6
869,4.560194997999116,0.06
870,0.0,0.0
871,602.6823003620073,8.04
872,4169.155860474052,55.59
873,7395.236067722231,98.6
874,7490.220033630529,99.87
875,7513.075457277273,100.17
876,6312.119582223804,84.16
877,5134.357534210055,68.46
878,6100.8655869043205,81.34
879,7560.187935992825,100.8
880,7695.531593284528,102.61
881,7707.512216974194,102.77
882,7724.53718506346,102.99
883,7616.835342662116,101.56
884,7633.892292138211,101.79
885,7713.851003811955,102.85
886,7807.408544885501,104.1
887,7208.304463307501,96.11
888,6165.755959966808,82.21
889,5683.265786348258,75.78
890,4128.606639969917,55.05
891,2733.128926941269,36.44
892,1144.2325197290822,15.26
893,394.39482982762263,5.26
894,334.1249823179977,4.45
895,486.7446190154174,6.49
896,1083.8850877129585,14.45
897,447.82765476224563,5.97
898,0.0,0.0
899,0.0,0.0
900,0.0,0.0
901,0.0,0.0
902,2.1456968026849177,0.03
903,35.08015440240252,0.47
904,226.76441744508077,3.02
905,643.0984973458959,8.57
906,1232.1764179263205,16.43
907,2095.4077515699696,27.94
908,2991.554672783459,39.89
909,4290.232929169013,57.2
910,6670.902306486738,88.95
911,7250.93986292281,96.68
912,6809.741516372933,90.8
913,7115.243148032312,94.87
914,7388.66165585911,98.52
915,7164.308721518571,95.52
916,7189.920571238026,95.87
917,7175.201416171796,95.67
918,7430.964140015942,99.08
919,7746.472822617601,103.29
920,7815.12642222671,104.2
921,7807.824284165848,104.1
922,7798.537837070167,103.98
923,7779.540077701227,103.73
924,7763.909514359361,103.52
925,7752.486245161231,103.37
926,7717.92295808198,102.91
927,7685.165642392987,102.47
928,7650.601687844216,102.01
929,7626.092434111989,101.68
930,7609.108927576881,101.45
931,7602.349507271763,101.36
932,7599.95554543531,101.33
933,7597.221015297882,101.3
934,7600.2211740554685,101.34
935,7614.832888797348,101.53
936,7636.200531284605,101.82
937,5261.065409487204,70.15
938,5355.954441690404,71.41
939,4279.761064404453,57.06
940,1488.2838877909403,19.84
941,37.671008038486306,0.5
942,921.5409591318742,12.29
943,1792.5325463592922,23.9
944,4515.776803697872,60.21
945,2686.4096824697135,35.82
946,2804.7396799740836,37.4
947,5959.314897642069,79.46
948,5687.921600921535,75.84
949,6100.54176660853,81.34
950,5907.839020041405,78.77
951,5997.201110262949,79.96
952,6773.077372303341,90.31
953,6857.7507861456215,91.44
954,7381.380577643769,98.42
955,7467.937491761355,99.57
956,7494.772488245365,99.93
957,7827.810370362975,104.37
958,7930.2717562506,105.74
959,7963.994548457679,106.19
960,7679.208450409079,102.39
961,7548.667447536318,100.65
962,7315.735634478696,97.54
963,7503.62115753337,100.05
964,6703.533382589316,89.38
965,6007.5077281701715,80.1
966,5859.109578866182,78.12
967,4174.225472586908,55.66
968,3691.7662111335653,49.22
969,3899.9804354460357,52.0
970,3036.9875244044283,40.49
971,1447.7420305294252,19.3
972,802.7648130823158,10.7
973,160.45126052028385,2.14
974,0.0,0.0
975,0.0,0.0
976,0.0,0.0
977,3.368946781341988,0.04
978,75.20417680865278,1.0
979,442.6656987940922,5.9
980,2085.1648074483237,27.8
981,4551.798378384704,60.69
982,5821.153897144069,77.62
983,6769.216665896617,90.26
984,6579.3609263787575,87.72
985,6819.336364786826,90.92
986,6752.863464204787,90.04
987,6159.485104415626,82.13
988,5805.292565173371,77.4
