Location
Wind class
Hub height,80
Cutin speed,3
Cutout speed,23

Hour,Adjust power based on air density (kW),P/Pr based on air density (%)
354,212.9802330556535,7.1
355,285.8466826188196,9.53
356,298.5423118713549,9.95
357,367.12222470747895,12.24
358,625.4265190202751,20.85
359,302.0754291130559,10.07
360,233.8315488787322,7.79
361,123.40609190146075,4.11
362,47.293384740810474,1.58
363,0.0,0.0
364,0.0,0.0
365,0.0,0.0
366,0.0,0.0
367,0.0,0.0
368,10.247268986515202,0.34
369,140.2466435268314,4.67
370,804.0908749840885,26.8
371,862.324683010505,28.74
372,693.4872184863519,23.12
373,618.252880335809,20.61
374,397.5110366278035,13.25
375,263.8813308169875,8.8
376,168.32746324386713,5.61
377,144.49580049353136,4.82
378,129.78859391425715,4.33
379,66.46348889225898,2.22
380,15.609854901661283,0.52
381,59.19425789888643,1.97
382,31.936854189880766,1.06
383,50.49527449260268,1.68
384,348.45377673101075,11.62
385,355.3349377684255,11.84
386,733.8471637898791,24.46
387,1387.1608037321525,46.24
388,1872.7544161880462,62.43
389,2343.232685347316,78.11
390,2830.274293522541,94.34
391,2982.8218363591627,99.43
392,2925.4791964751284,97.52
393,2773.332609566752,92.44
394,2913.4154107088884,97.11
395,2685.402146681016,89.51
396,2691.656000110946,89.72
397,3014.2546038043956,100.48
398,2099.6502321395633,69.99
399,2990.5615832655935,99.69
400,2935.402043460537,97.85
401,1924.495595897955,64.15
402,2874.8356119617893,95.83
403,2857.8090367594796,95.26
404,2119.024580890309,70.63
405,639.4102940554765,21.31
406,735.1288871817989,24.5
407,1012.7818253846434,33.76
408,1672.940382410711,55.76
409,1017.8186385274794,33.93
410,1131.0301344446852,37.7
411,575.881036202158,19.2
412,898.3712600055475,29.95
413,1030.547918277953,34.35
414,535.2514985462186,17.84
415,577.1382028106817,19.24
416,537.6488887184003,17.92
417,542.1990177845354,18.07
418,345.1985266821128,11.51
419,683.8452980928707,22.79
420,510.6448616802137,17.02
421,151.7506631331419,5.06
422,227.2930056309309,7.58
423,822.4843711031348,27.42
424,995.3750984727745,33.18
425,915.5642768397514,30.52
426,874.8597446604712,29.16
