Location,AZ
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Run lifetime simulation,0.0,0/1
Daily average solar irradiance,6.462446720448928,kWh/m2/day
Annual AC output,5265664.882273504,kWh
Annual energy,5265664.882273505,kWh
Capacity factor,20.036776568772854,%
Energy yield,1755.2216274245018,kWh/kW
Location ID,1755.2216274245018,
City,1755.2216274245018,
State,1755.2216274245018,
Latitude,33.45000076293945,deg
Longitude,-112.05999755859375,deg
Time zone,-7.0,hr
Site elevation,321.0,m
Inverter efficiency at rated power,96.0,%
Estimated number of rows in the system,100.0,
Time offset for interpreting time series outputs,0.5,hours
Estimated percent of total completed simulation,99.89726257324219,%
Capacity factor of the interconnection (year 1),0.0,%
Annual Energy AC pre-interconnection (year 1),0.0,kWh
Annual Energy AC (year 1),5265664.882273505,kWh
Annual Energy loss from interconnection limit (year 1),0.0,%
Annual Energy loss from interconnection limit (year 1),0.0,kWh
Capacity factor of the curtailment (year 1),0.0,%
Annual Energy AC pre-curtailment (year 1),5265664.882273505,kWh
Annual Energy loss from curtailment (year 1),0.0,%
Annual Energy loss from curtailment (year 1),0.0,kWh
Annual energy production as function of time,0.0,kW

Hour,System power generated (kW),Annual energy production as function of time (kW),Irradiance GHI from weather file (W/m2),Irradiance DNI from weather file (W/m2),Irradiance DHI from weather file (W/m2),Weather file ambient temperature (C),Weather file wind speed (m/s),Weather file snow depth (cm),Sun up over horizon (0/1),Shading factor for beam radiation (),Angle of incidence (deg),Plane of array irradiance (W/m2),Transmitted plane of array irradiance (W/m2),Module temperature (C),DC power loss due to snow (%),DC inverter input power (W),AC inverter output power (W),System power generated (kW),Annual energy production as function of time (kW),System power generated (kW),System power before grid interconnect (kW),System power before grid curtailment (kW)
34,1923.3297410058547,1923.3297410058547,457.0,850.0,77.0,15.0,4.699999809265137,nan,1.0,1.0,37.76154293342213,779.0994865130466,779.0994865130466,30.350030864313226,1.0,1999365.564448354,1923329.7410058547,1923.3297410058547,1923.3297410058547,1923.3297410058547,0.0,1923.3297410058547
35,2161.1410923799913,2161.1410923799913,556.0,912.0,76.0,18.0,4.099999904632568,nan,1.0,1.0,27.803836814416318,905.528896376842,905.528896376842,37.475234273187084,1.0,2248202.030998616,2161141.0923799914,2161.1410923799913,2161.1410923799913,2161.1410923799913,0.0,2161.1410923799913
36,2240.9786589692735,2240.9786589692735,592.0,928.0,77.0,19.0,3.700000047683716,nan,1.0,1.0,23.339973920468783,951.9167329795073,951.9167329795073,40.36901769192917,1.0,2331921.457319737,2240978.6589692733,2240.9786589692735,2240.9786589692735,2240.9786589692735,0.0,2240.9786589692735
37,2148.9690033590173,2148.9690033590173,562.0,919.0,75.0,20.0,3.299999952316284,nan,1.0,1.0,27.236901848577542,914.6992797061713,914.6992797061713,41.433690459035176,1.0,2235446.107957058,2148969.0033590174,2148.9690033590173,2148.9690033590173,2148.9690033590173,0.0,2148.9690033590173
38,1898.5462633021457,1898.5462633021457,469.0,869.0,73.0,20.0,2.9000000953674316,nan,1.0,1.0,36.92809907053283,797.2126885086498,797.2126885086498,39.58380374030065,1.0,1973479.218772874,1898546.2633021458,1898.5462633021457,1898.5462633021457,1898.5462633021457,0.0,1898.5462633021457
39,1470.8005387623239,1470.8005387623239,325.0,785.0,62.0,18.0,1.899999976158142,nan,1.0,1.0,49.06962918919679,602.2544818144847,602.2544818144847,35.008697395221816,1.0,1528057.568735005,1470800.5387623238,1470.8005387623239,1470.8005387623239,1470.8005387623239,0.0,1470.8005387623239
40,784.1787499195992,784.1787499195992,148.0,595.0,43.0,16.0,1.100000023841858,nan,1.0,1.0,62.192105661159744,327.89288846481696,317.0614744241826,26.928118524004333,1.0,818352.3659075152,784178.7499195992,784.1787499195992,784.1787499195992,784.1787499195992,0.0,784.1787499195992
41,0.0,0.0,0.0,0.0,0.0,14.0,1.2000000476837158,nan,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,13.0,1.2999999523162842,nan,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,12.0,1.399999976158142,nan,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
